job_id,job_title,company_name,company_state,employment_type,experience_level,company_size,image_link,employees,company_services,salary,original_title
3636799852,Data Engineer,"Kiss Products, Inc.",NY,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQFzrgCXrGQiVA/company-logo_100_100/0/1631326260389?e=1712188800&v=beta&t=-nkXUXf_oFgjWXCV7qLLG-Op7Vf_kZJwdiM44H6i21A,"501-1,000 employees",Personal Care Product Manufacturing,65280.0,Junior Data Engineer II
3642659654,Senior Machine Learning Engineer,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,274500.0,"Senior Machine Learning Engineer, TikTok Recommendation"
3656659700,Deep Learning Engineer,Netradyne,CA,Full-time,Entry level,L,https://media.licdn.com/dms/image/C4D0BAQEHzMzLD8TXdw/company-logo_100_100/0/1630560495009/netradyne_logo?e=1712188800&v=beta&t=s8dddw50CLkz95cezN2F4rv4_Sng4aNrqu0NijBh_tk,"501-1,000 employees",IT Services and IT Consulting,162500.0,Deep Learning Research Engineer
3657604865,Marketing Analyst,Wescom Credit Union,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFom_Bv4WmsHg/company-logo_100_100/0/1688583204030/wescom_credit_union_logo?e=1712188800&v=beta&t=y-YSMqv9qhmGKGa0eQD9h4UNyRKodHkHCfXrBtgsNO0,"501-1,000 employees",Banking,81069.0,Marketing Analyst (Pasadena)
3662331851,Python Developer,X4 Alpha,NY,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C4E0BAQHT4q5F3XRXfA/company-logo_100_100/0/1661453763867/x4_alpha_logo?e=1712188800&v=beta&t=79-xtQJWj5dt33P3X4CkPJlt0f_adLjT8Q0FvPE3UMU,11-50 employees,Staffing and Recruiting,300000.0,Quantitative Python Developer
3662430083,Senior Deep Learning Engineer,NVIDIA,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,Senior Deep Learning Algorithm Engineer
3663715287,Data Analyst,J. Paul Getty Trust,CA,Full-time,Entry level,L,https://media.licdn.com/dms/image/D560BAQH9Cu-47aXivw/company-logo_100_100/0/1666024541093/j_paul_getty_trust_logo?e=1712188800&v=beta&t=Nrii5HnPygpr2A_LFYDzheB1WtjNXzGyGAuuA8OUl4c,"1,001-5,000 employees","Museums, Historical Sites, and Zoos",108285.0,Data Analyst and Facilitator
3666062893,Data Analyst,Baltimore City Public Schools,MD,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQEBavaox_EzlQ/company-logo_100_100/0/1677684329679/baltimore_city_public_schools_logo?e=1712188800&v=beta&t=eCVgkU4JyCw1W4bGRVLEKbV96-kEhABn8xw95Y0Hmuk,"10,001+ employees",Primary and Secondary Education,80828.5,Data Analyst
3669874129,Senior Machine Learning Engineer,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,233520.0,"Senior Machine Learning Engineer, Foundation Model Applications"
3670336367,Senior Machine Learning Engineer,TikTok,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,223540.0,"Senior Machine Learning Engineer, Foundation Model Applications"
3672963534,Senior Machine Learning Engineer,Roblox,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHcBSrlw3MI3g/company-logo_100_100/0/1661789836195/roblox_logo?e=1712188800&v=beta&t=lNbBtk1S52d_PRMUL3QFO5zGaRvQOTmM9_wZm9Jm8aU,"1,001-5,000 employees",Software Development,251160.0,Senior Machine Learning Engineer - Economy Fraud
3673269108,Python Developer,Robert Half,TX,Full-time,Entry level,L,https://media.licdn.com/dms/image/D560BAQFP6-a3z7Fm8Q/company-logo_100_100/0/1696341221977/robert_half_international_logo?e=1712188800&v=beta&t=xFgYIpmuwI23ymGhkotHsjkeGrycJv0S7-YmlGF1LaQ,"10,001+ employees",Staffing and Recruiting,125000.0,Python Developer
3675328369,Data Architect,Dematic,GA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395931188?e=1712188800&v=beta&t=e7LxcI-CZNFTjEKZZ8vxegz2hzdXt7suRMDaTunoisw,"10,001+ employees","Transportation, Logistics, Supply Chain and Storage",146000.0,Principal Big Data Architect
3678268880,Senior Data Engineer,M&T Bank,DE,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQFdBokFRoHX4g/company-logo_100_100/0/1631340952916?e=1712188800&v=beta&t=-79UvPBb2AW6QMxXTljol6rVcltRDbhVFanKF1ojSfE,"10,001+ employees",Financial Services,133254.445,Senior Data Engineer - Enterprise Data Technology
3679533631,Deep Learning Engineer,KLA,MI,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQF6F4zFyo4WzQ/company-logo_100_100/0/1656661447198/klacorp_logo?e=1712188800&v=beta&t=gKbPHwmNP1gVnCk1yKSNVV1RegrGmwVmt-OKWdgjFG8,"10,001+ employees",Semiconductor Manufacturing,123100.0,Algorithm Engineer (Deep Learning/C++)(E)
3680370266,Machine Learning Engineer,The Sourcery,CA,Full-time,Entry level,M,https://media.licdn.com/dms/image/C560BAQETwploRigAnQ/company-logo_100_100/0/1656690349600/the_sourcery_logo?e=1712188800&v=beta&t=zVKPsvKKV6Si8XJH2hni4E2VdPU97vJGTz0DEQNbWQw,11-50 employees,Staffing and Recruiting,237500.0,Machine Learning Engineer
3680414274,Business Analyst,Kansas City Public Schools,MO,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQGB-84EKqF7xQ/company-logo_100_100/0/1631352239656?e=1712188800&v=beta&t=NXXa5svooimqnMm3EToyKGkUKtqQaDqu2ZAb6jV0GRs,"1,001-5,000 employees",Primary and Secondary Education,51100.8,School Business Analyst-02191
3681703814,Senior Data Architect,Marsh McLennan Agency,NY,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D4E0BAQHeNjsRh_vafw/company-logo_100_100/0/1688649028739/marsh_mclennan_agency_logo?e=1712188800&v=beta&t=fbLLWDcOM8d773R3jfJOFXoxWcxVB-Q2rCNtUYJLFUY,"5,001-10,000 employees",Insurance,100237.5,Senior Data Architect- MMA National
3682660575,Data Analyst,TickPick,NY,Full-time,Associate,M,https://media.licdn.com/dms/image/C510BAQES2aV8eOdyMQ/company-logo_100_100/0/1630608120877/tickpick_logo?e=1712188800&v=beta&t=2Gec4J89CkdqzoG-PnQHXUeIO0eG5QWLwzVikrFgMFw,11-50 employees,Events Services,112500.0,Data Analyst
3684609095,Senior Machine Learning Engineer,The Walt Disney Company,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQE7OIxItpOtzA/company-logo_100_100/0/1672755875596/the_walt_disney_company_logo?e=1712188800&v=beta&t=8CQW-yNpgqgo6_Dd8yDFeamuhj3J-KyQBdL3plxGCaQ,"10,001+ employees",Entertainment Providers,159264.0,Sr. Machine Learning Engineer
