job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link,employees,salary,original_title,L,M,S
3619562149,4,"Berry Global, Inc.",IN,,0,1,0,L,https://media.licdn.com/dms/image/D560BAQHcYU78FzvsrA/company-logo_100_100/0/1666532272703/berryglobal_logo?e=1709769600&v=beta&t=0Q7y4Jc5G-37_6Tn5R0cVSCGhw7rpq5O9DfGNvpeeL4,Más de 10.001 empleados,,"LOGISTICS DATA ANALYST INTERN, YEAR ROUND",1.0,0.0,0.0
3620841954,6,Coinbase,WA,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3620842820,6,Coinbase,GA,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3620842822,6,Coinbase,AZ,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3620844447,6,Coinbase,UT,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3620846078,6,Coinbase,OR,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3620848002,6,Coinbase,IL,,0,1,0,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0,De 1.001 a 5.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3713995239,4,Delta Air Lines,GA,,0,1,3,L,https://media.licdn.com/dms/image/C4E0BAQERMNM6nOOmVQ/company-logo_100_100/0/1630612966620/delta_air_lines_logo?e=1709769600&v=beta&t=6d20k6kMkmIegK7rSuPP7p23nX3ov6E3r6s_K__9ruU,Más de 10.001 empleados,,"Co-op, Data Analyst - Crew Resources (Summer, 2024)",1.0,0.0,0.0
3714054589,5,Netflix,CA,,0,1,3,L,https://media.licdn.com/dms/image/C4E0BAQEVb0ZISWk8vQ/company-logo_100_100/0/1631355051964?e=1709769600&v=beta&t=yZ2Xsfwblu_jwN16I8llK1M8g7Ig5LFQld11JTFgP1U,Más de 10.001 empleados,,Data Engineer (L5) - Ads,1.0,0.0,0.0
3715326372,6,Navy Federal Credit Union,VA,,0,1,0,L,https://media.licdn.com/dms/image/D4E0BAQFiUr8PXhEX-Q/company-logo_100_100/0/1698845033204/navy_federal_credit_union_logo?e=1709769600&v=beta&t=Oj6dSCz9pkDeHBSWkhUD_HFMnK2vESfrpM9X-672RXo,Más de 10.001 empleados,,Summer Associate Internship (Data Scientist - Real Estate Lending),1.0,0.0,0.0
3715346410,6,Navy Federal Credit Union,FL,,0,1,0,L,https://media.licdn.com/dms/image/D4E0BAQFiUr8PXhEX-Q/company-logo_100_100/0/1698845033204/navy_federal_credit_union_logo?e=1709769600&v=beta&t=Oj6dSCz9pkDeHBSWkhUD_HFMnK2vESfrpM9X-672RXo,Más de 10.001 empleados,,Summer Associate Internship (Data Scientist - Real Estate Lending),1.0,0.0,0.0
