job_id,job_title,company_name,company_state,remote_ratio,employment_type,experience_level,company_size,image_link,employees,company_services,salary,min,max,original_title
3592057790,Senior Data Scientist,TikTok,CA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,252844.0,176355.0,329333.0,"Senior Data Scientist, TikTok Experience"
3595740119,Senior Business Analyst,Panda Restaurant Group,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFOGmrz_7Gxxw/company-logo_100_100/0/1692061813233/panda_restaurant_group_logo?e=1712188800&v=beta&t=WclNQhIQog5seMa_lRc7OpXvcfJEqt1n6AQRhRuD3JM,"10,001+ employees",Restaurants,96750.0,80500.0,113000.0,Sr. Business Analyst
3604512767,Senior Data Architect,Deloitte,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,113325.0,188875.0,SAP Data Architect Sr Consultant
3604512773,Senior Data Architect,Deloitte,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,113325.0,188875.0,SAP Data Architect Sr Consultant
3604517194,Senior Data Architect,Deloitte,FL,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGNtpblgQpJoQ/company-logo_100_100/0/1662120928214/deloitte_logo?e=1712188800&v=beta&t=uDNRVL7rycHpQoAyYKYVK49UN0coIufcIrCeYnXPbbM,"10,001+ employees",Business Consulting and Services,151100.0,113325.0,188875.0,SAP Data Architect Sr Consultant
3605378008,Data Architect,Databricks,CA,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQFPIRKiPVETuw/company-logo_100_100/0/1697215766274?e=1712188800&v=beta&t=NdHO94vLSfJ_EO79BMOXehvbHW0c1o72LRd-xZ9uv6k,"5,001-10,000 employees",Software Development,198300.0,143200.0,253400.0,Staff Data Architect
3609390901,Python Developer,UICGS / Bowhead Family of Companies,AL,Remote,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQHo-bC_UTpfdA/company-logo_100_100/0/1631328247308?e=1712188800&v=beta&t=5w4dze9YfOcq8HBU9YpRb0wq_DNErW_guEgDuIP379k,"1,001-5,000 employees",IT Services and IT Consulting,,,,Geospatial Python Developer
3620307391,Data Engineer,Epik Solutions,NC,On-site,Contract,Entry level,L,https://media.licdn.com/dms/image/C560BAQHITbtTDsARlQ/company-logo_100_100/0/1630563527151/epikso_logo?e=1712188800&v=beta&t=meegyrCu6-VAPMmPoOIKjysCU7uVA3kPJHa_ZeCePuI,201-500 employees,Information Technology & Services,,,,Azure Data Engineer
3620841954,Senior Data Scientist,Coinbase,WA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,140250.0,206000.0,Senior Data Scientist
3620842819,Senior Data Scientist,Coinbase,NY,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,140250.0,206000.0,Senior Data Scientist
3620845206,Senior Data Scientist,Coinbase,CA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,140250.0,206000.0,Senior Data Scientist
3620848002,Senior Data Scientist,Coinbase,IL,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1712188800&v=beta&t=M5vnGc9m0HwuflY510Dc2hSDteMLEqVm62Lsq6moYls,"1,001-5,000 employees",Internet Publishing,173125.0,140250.0,206000.0,Senior Data Scientist
3625989436,Deep Learning Engineer,Overview,CA,On-site,Full-time,Entry level,M,https://media.licdn.com/dms/image/D560BAQHciEJIDlxmDA/company-logo_100_100/0/1694818126733/overview_ai_logo?e=1712188800&v=beta&t=q_V0nMoSV2UNIjJLPX0I8KevbwpNurxavTZ3iJWLxJM,11-50 employees,Industrial Automation,,,,Deep Learning Infrastructure Engineer
3625991319,Data Scientist,Overview,CA,On-site,Full-time,Entry level,M,https://media.licdn.com/dms/image/D560BAQHciEJIDlxmDA/company-logo_100_100/0/1694818126733/overview_ai_logo?e=1712188800&v=beta&t=q_V0nMoSV2UNIjJLPX0I8KevbwpNurxavTZ3iJWLxJM,11-50 employees,Industrial Automation,125000.0,65000.0,185000.0,Deep Learning Data Scientist (Research)
3627106734,Deep Learning Engineer,Rivian,CA,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQExEiomEFELIA/company-logo_100_100/0/1632952934752/rivian_logo?e=1712188800&v=beta&t=HT7LYsA64aADztE2opo6U6Z27qSUXAUG2PXUkMkcQqQ,"10,001+ employees",Motor Vehicle Manufacturing,220500.0,205000.0,236000.0,"Staff Deep Learning Engineer, Autonomy"
3631883516,Senior Deep Learning Engineer,NVIDIA,WA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,176000.0,333500.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631886389,Senior Deep Learning Engineer,NVIDIA,OR,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,176000.0,333500.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631887340,Senior Deep Learning Engineer,NVIDIA,CA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,176000.0,333500.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3631887341,Senior Deep Learning Engineer,NVIDIA,NC,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,254750.0,176000.0,333500.0,"Senior Performance Software Engineer, Deep Learning Libraries"
3633008320,Data Engineer,Costco Wholesale,IL,Hybrid,Full-time,Entry level,L,https://media.licdn.com/dms/image/C4D0BAQFgmh2pajt3jQ/company-logo_100_100/0/1631352560809?e=1712188800&v=beta&t=kttMsu1M3qHeL6TYx3EQY3JO1YydkYxrsc8YcrAAMt8,"10,001+ employees",Retail,105000.0,75000.0,135000.0,Data Engineer- Costco Logistics BI
3634190448,Senior Data Scientist,Spotter,CA,Hybrid,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C560BAQEYvkAOOIHdxg/company-logo_100_100/0/1633534958573/spotter_inc_logo?e=1712188800&v=beta&t=zerAvSor0uPeyPLwO7Dxb2n_BziJCh5YyqUcQjzWL_w,51-200 employees,Online Audio and Video Media,300000.0,100000.0,500000.0,Senior Data Scientist - Computer Vision
3636012066,Senior Data Engineer,Epic Games,NC,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQEXIMAQALTuog/company-logo_100_100/0/1630572192594/epic_games_logo?e=1712188800&v=beta&t=4rVoq66q0KBUfRaYdT62I66TuXx976fDKo_wPSH8Sto,"1,001-5,000 employees",Computer Games,,,,Senior Data Engineer
3636422305,Python Developer,Atlantic Partners Corporation,NY,Hybrid,Full-time,Entry level,M,https://media.licdn.com/dms/image/C4E0BAQFvIfdSwrvS9g/company-logo_100_100/0/1631314339396?e=1712188800&v=beta&t=PozyfmzLwNtlCodZeueeKaYzURBgJTWGOCpSWKeJmBc,51-200 employees,Staffing and Recruiting,,,,Python Developer - Perm - 23-00209
3636799852,Data Engineer,"Kiss Products, Inc.",NY,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQFzrgCXrGQiVA/company-logo_100_100/0/1631326260389?e=1712188800&v=beta&t=-nkXUXf_oFgjWXCV7qLLG-Op7Vf_kZJwdiM44H6i21A,"501-1,000 employees",Personal Care Product Manufacturing,65280.0,44160.0,86400.0,Junior Data Engineer II
3637393456,Data Scientist,U.S. News & World Report,DC,Hybrid,Full-time,Entry level,L,https://media.licdn.com/dms/image/C4D0BAQFx03wF1TAL_w/company-logo_100_100/0/1630521065963/us_news__world_report_logo?e=1712188800&v=beta&t=wDnWZ_1HOdQUJBCoeQebQxBbteLt52V8WQwLgkcgSPs,"501-1,000 employees",Internet Publishing,,,,Data Scientist
3642659654,Senior Machine Learning Engineer,TikTok,CA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,274500.0,194000.0,355000.0,"Senior Machine Learning Engineer, TikTok Recommendation"
