job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link
3681938700,Machine Learning Engineer,Mastech Digital,"· Irving, TX",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C560BAQHPPaaVIgudBw/company-logo_100_100/0/1631301182845?e=1709769600&v=beta&t=0MVtCnfhPYAHyTUWwWJ9YIPKuExHeRGDIfOkXUvfO5Q
3682226450,"Machine Learning Engineer, Planning, Prediction and Control",DeepRoute.ai,"· Fremont, CA",100.000 $/año - 150.000 $/año,Presencial,Jornada completa,Intermedio,De 501 a 1.000 empleados · Desarrollo de software,https://media.licdn.com/dms/image/D4D0BAQHXrtYRlcwEbA/company-logo_100_100/0/1701078997726/deeproute_ai_ltd_logo?e=1709769600&v=beta&t=Uw2G9zbCsX5IlyEwN4QbFPihIzqJmcML6xV3wkhq8Lw
3682237641,Single Family Data Analyst (Hybrid - 3 Days in Office),Freddie Mac,"· McLean, VA",57.000 $/año - 85.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 5.001 a 10.000 empleados · Servicios financieros,https://media.licdn.com/dms/image/D4E0BAQG5TydjZjKb6g/company-logo_100_100/0/1688320911746/freddie_mac_logo?e=1709769600&v=beta&t=xBZ0UxZ_v4Xjpu4ZJkwHqSxhWiOTbAMBWTdQ_2krZ7c
3683024658,Machine Learning Engineer,Groq Health,"· Nueva York, NY",57.000 $/año - 85.000 $/año,Híbrido,Jornada completa,Sin experiencia,Entre 1 y 10 empleados,https://media.licdn.com/dms/image/C560BAQHpDFMDEPRa4Q/company-logo_100_100/0/1662659935150/groq_health_logo?e=1709769600&v=beta&t=y4N9uHWASg5w35Mi4HmP5YdBBfjzIc2l-iDuKZXEMSk
3684110733,Deep Reinforcement Learning Research Engineer,Nimble,"· San Francisco, CA",57.000 $/año - 85.000 $/año,Híbrido,Jornada completa,Sin experiencia,"De 51 a 200 empleados · Transporte, logística, cadena de suministro y almacenamiento",https://media.licdn.com/dms/image/D560BAQEjnqPeB1UVSA/company-logo_100_100/0/1686521888147/nimble_robotics_logo?e=1709769600&v=beta&t=pf66hmbUrV8S6S0jVQ7hXGTKtL5zjOI1HFFWpZzqDgU
3684410492,Deep Learning Engineer,Advanced Tech Placement,"· Parsippany, NJ",57.000 $/año - 85.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 11 a 50 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/C560BAQHLbbJgRTZQKg/company-logo_100_100/0/1674067390726/advancedtechplacement_logo?e=1709769600&v=beta&t=KyOWvSJORGbHX9lLcPJ1wC88ByeErCdjU_qGVBzG5fM
3686550330,"Job Description: Data Engineer || Reston,VA || Contract ||",Extend Information Systems Inc.,"· Reston, VA",57.000 $/año - 85.000 $/año,Híbrido,Jornada completa,Sin experiencia,De 51 a 200 empleados · Servicios y consultoría de TI,https://media.licdn.com/dms/image/C4E0BAQEON_wWCCtPmA/company-logo_100_100-alternative/0/1630635399675/extend_info_system_logo?e=1709769600&v=beta&t=uxBrgKZ6wNdsC5-UQjqZjA2HYkuyznf92Nigmpsd-YM
3687374315,Senior Data Warehouse Engineer (Database Administrator),San Diego Metropolitan Transit System (MTS),"· San Diego, CA",84.899 $/año - 172.663 $/año,Presencial,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Transporte terrestre en camión,https://media.licdn.com/dms/image/C4E0BAQGuEWauNrVT-g/company-logo_100_100/0/1630585613001/san_diego_metropolitan_transit_system_mts__logo?e=1709769600&v=beta&t=FdLy3xy3q3m6Yb7mwPmTWTd5n3aqxc8n_o2d_gBDPEQ
3689932006,Machine Learning Research Scientist - Reinforcement Learning,Nuro,"· Mountain View, CA",167.200 $/año - 250.800 $/año,Híbrido,Jornada completa,Intermedio,"De 1.001 a 5.000 empleados · Tecnología, información e internet",https://media.licdn.com/dms/image/C560BAQHahNycmNp6Gg/company-logo_100_100/0/1630638403898/nuro_inc_logo?e=1709769600&v=beta&t=FkrgDgCDP4PT5PX7dERBFE8_M9mlnLMLAyh5_mbAiqI
3693947782,Data Engineer Graduate (Real Time Communication) - 2024 Start (BS/ MS),ByteDance,"· Seattle, WA",167.200 $/año - 250.800 $/año,Híbrido,Jornada completa,Intermedio,Más de 10.001 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C560BAQGA-1ynUGnhlA/company-logo_100_100/0/1630658803864/bytedance_logo?e=1709769600&v=beta&t=83XxOEwz0tFuLOYcPxn0o1JXSiAKtskj_eSgr5NpkwU
